Season,Tm,PER_MP
2000-2001,GSW,26121.783811554942
2000-2001,HOU,32412.35245655105
2000-2001,IND,30276.13219200893
2000-2001,LAC,29458.974729728154
2000-2001,LAL,32972.30572621128
2000-2001,MIA,29234.7946983562
2000-2001,MIL,33638.50203604182
2000-2001,MIN,32429.14794975135
2000-2001,NJN,27461.163932452142
2000-2001,NYK,29059.52172920201
2000-2001,ORL,30199.6195114077
2000-2001,PHI,30488.066184808948
2000-2001,PHO,29174.58551568983
2000-2001,POR,32946.289292425856
2000-2001,SAC,33995.40245414798
2000-2001,SAS,33697.06689857723
2000-2001,SEA,32191.165156905725
2000-2001,TOR,32086.927658905097
2000-2001,UTA,32220.765026695703
2000-2001,VAN,27710.935420325277
2000-2001,WAS,23851.616283020678
2001-2002,ATL,26652.274789487212
2001-2002,BOS,27993.904798832355
2001-2002,CHH,29328.983900713487
2001-2002,CHI,21610.51525207709
2001-2002,CLE,28580.711212234353
2001-2002,DAL,30725.970409600577
2001-2002,DEN,23445.682478425606
2001-2002,DET,29536.90891597695
2001-2002,GSW,27786.713701291457
2001-2002,HOU,27810.3871991956
2001-2002,IND,28371.361633127442
2001-2002,LAC,29306.299190408958
2001-2002,LAL,31886.528306959804
2001-2002,MEM,25912.792226739155
2001-2002,MIA,25818.032363638893
2001-2002,MIL,29981.381080274867
2001-2002,MIN,30881.21348742278
2001-2002,NJN,29486.05132728677
2001-2002,NYK,26259.97487478169
2001-2002,ORL,29180.812428898284
2001-2002,PHI,28183.66612530206
2001-2002,PHO,27805.427602490225
2001-2002,POR,30486.731764989283
2001-2002,SAC,32370.260579595724
2001-2002,SAS,30642.239640028765
2001-2002,SEA,31024.62866570202
2001-2002,TOR,28065.429455944337
2001-2002,UTA,28995.494045875836
2001-2002,WAS,27630.064093775738
2002-2003,ATL,28869.863210900174
2002-2003,BOS,28300.57313939938
2002-2003,CHI,27499.15614812709
2002-2003,CLE,25807.182492918277
2002-2003,DAL,34443.22127269983
2002-2003,DEN,20573.03552552916
2002-2003,DET,30260.741373296318
2002-2003,GSW,32153.20073371383
2002-2003,HOU,30952.913121971094
2002-2003,IND,31043.968248816862
2002-2003,LAC,27148.204480883924
2002-2003,LAL,32071.8772102545
2002-2003,MEM,30752.2007555251
2002-2003,MIA,25832.140267302097
2002-2003,MIL,31850.973680570518
2002-2003,MIN,31578.604842612287
2002-2003,NJN,30247.812086966307
2002-2003,NOH,29924.22145414203
2002-2003,NYK,29237.892176083955
2002-2003,ORL,29020.521940738505
2002-2003,PHI,31324.32324625784
2002-2003,PHO,30098.493959110576
2002-2003,POR,31740.331594848078
2002-2003,SAC,32407.022999037017
2002-2003,SAS,31880.659273338224
2002-2003,SEA,29584.129753845773
2002-2003,TOR,27160.892735682995
2002-2003,UTA,31111.526912228554
2002-2003,WAS,29658.194801709567
2003-2004,ATL,27637.0685226062
2003-2004,BOS,27814.231834202703
2003-2004,CHI,23765.04736806784
2003-2004,CLE,27798.40160784262
2003-2004,DAL,36658.95588914179
2003-2004,DEN,31686.55325267398
2003-2004,DET,30388.68329517722
2003-2004,GSW,30548.468643150158
2003-2004,HOU,29062.221081667503
2003-2004,IND,31712.847401017247
2003-2004,LAC,29096.431170181506
2003-2004,LAL,31567.90610787195
2003-2004,MEM,32577.145265467887
2003-2004,MIA,29306.469500004037
2003-2004,MIL,31207.635600910693
2003-2004,MIN,32581.656714712426
2003-2004,NJN,29272.04510432068
2003-2004,NOH,29978.374113961574
2003-2004,NYK,24306.76128648384
2003-2004,ORL,28254.64411026277
2003-2004,PHI,27039.131495478596
2003-2004,PHO,28375.349131232844
2003-2004,POR,30538.70575354518
2003-2004,SAC,34761.96268124153
2003-2004,SAS,30939.062145764517
2003-2004,SEA,31715.837142373915
2003-2004,TOR,25872.357253985243
2003-2004,UTA,27385.40578453473
2003-2004,WAS,27358.82675525724
2004-2005,ATL,24608.193160325816
2004-2005,BOS,29611.682540624624
2004-2005,CHA,25890.09739274904
2004-2005,CHI,26435.935566423825
