,Season,Tm,log(PER * MP)
160,2003-2004,MIN,12.876411381317618
161,2003-2004,NJN,12.76929489735497
162,2003-2004,NOH,12.793138187617776
163,2003-2004,NYK,12.58341648265658
164,2003-2004,ORL,12.73391976613513
165,2003-2004,PHI,12.689947060179014
166,2003-2004,PHO,12.738182708680426
167,2003-2004,POR,12.81165684893129
168,2003-2004,SAC,12.941185691360465
169,2003-2004,SAS,12.824681461424756
170,2003-2004,SEA,12.849478079294295
171,2003-2004,TOR,12.645837040027843
172,2003-2004,UTA,12.702672164662507
173,2003-2004,WAS,12.701701138852744
174,2004-2005,ATL,12.595741371555649
175,2004-2005,BOS,12.780830892660827
176,2004-2005,CHA,12.646522484316737
177,2004-2005,CHI,12.667386209033257
178,2004-2005,CLE,12.814874088778357
179,2004-2005,DAL,12.878833109470163
180,2004-2005,DEN,12.793885952079462
181,2004-2005,DET,12.812413101537013
182,2004-2005,GSW,12.709955674227741
183,2004-2005,HOU,12.737513096440805
184,2004-2005,IND,12.69126810970724
185,2004-2005,LAC,12.784008798233511
186,2004-2005,LAL,12.77314830522372
187,2004-2005,MEM,12.764483158988396
188,2004-2005,MIA,12.865647410852894
189,2004-2005,MIL,12.742651038923274
190,2004-2005,MIN,12.813227666138905
191,2004-2005,NJN,12.603683128458922
192,2004-2005,NOH,12.468434770825306
193,2004-2005,NYK,12.752259762466714
194,2004-2005,ORL,12.728639996521002
195,2004-2005,PHI,12.720690196799813
196,2004-2005,PHO,12.932762002501752
197,2004-2005,POR,12.72524726582458
198,2004-2005,SAC,12.782457518757997
199,2004-2005,SAS,12.821829102291266
200,2004-2005,SEA,12.845587866136235
201,2004-2005,TOR,12.775195907025148
202,2004-2005,UTA,12.629731073771454
203,2004-2005,WAS,12.781154116564755
204,2005-2006,ATL,12.797320908656317
205,2005-2006,BOS,12.741806643356705
206,2005-2006,CHA,12.724200756111834
207,2005-2006,CHI,12.736810139594908
208,2005-2006,CLE,12.841185229761535
209,2005-2006,DAL,12.92148182005541
210,2005-2006,DEN,12.803744347900283
