,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attend.,Attend./G
7,Philadelphia 76ers*,28.2,56,26,54,28,4.28,-0.65,3.64,103.6,98.9,+4.7,90.6,.351,.124,.518,.468,14.7,31.2,.262,.460,14.5,72.5,.186,First Union Center,805692,19651
8,Milwaukee Bucks*,28.2,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,+4.2,92.1,.276,.218,.542,.499,12.8,28.1,.217,.473,14.4,71.1,.253,Bradley Center,683125,16662
9,Houston Rockets,26.7,45,37,48,34,2.29,0.42,2.71,106.7,104.2,+2.5,90.4,.321,.217,.538,.492,14.0,27.5,.244,.475,12.6,71.9,.206,Compaq Center,518555,12648
10,Phoenix Suns*,28.6,51,31,48,34,2.21,0.42,2.63,100.3,98.0,+2.3,93.1,.292,.156,.506,.460,14.1,27.3,.221,.460,16.3,73.7,.252,America West Arena,737586,17990
11,New York Knicks*,29.8,48,34,50,32,2.63,-0.65,1.98,101.2,98.2,+3.0,86.7,.279,.180,.523,.476,14.6,24.2,.222,.453,14.7,74.3,.240,Madison Square Garden (IV),810283,19763
12,Minnesota Timberwolves*,27.4,47,35,45,37,1.35,0.46,1.81,105.2,103.7,+1.5,91.8,.253,.131,.523,.482,13.0,28.6,.199,.478,14.2,71.9,.238,Target Center,717371,17497
13,Miami Heat*,30.9,50,32,48,34,2.29,-0.57,1.73,101.1,98.5,+2.6,87.1,.299,.221,.515,.469,13.7,24.3,.227,.460,15.3,72.7,.214,AmericanAirlines Arena,678186,16541
14,Toronto Raptors*,29.9,47,35,48,34,2.26,-0.57,1.69,105.9,103.4,+2.5,90.9,.285,.167,.510,.468,12.1,30.8,.213,.476,13.3,73.2,.212,Air Canada Centre,793256,19348
15,Charlotte Hornets*,28.2,46,36,48,34,2.10,-0.65,1.45,101.8,99.5,+2.3,89.4,.330,.151,.506,.457,13.7,29.8,.246,.456,14.1,74.5,.222,Charlotte Coliseum,615424,15010
16,Seattle SuperSonics,27.9,44,38,41,41,0.02,0.52,0.55,105.6,105.6,0.0,91.6,.299,.176,.530,.491,14.3,29.1,.219,.488,13.9,69.8,.199,KeyArena at Seattle Center,640847,15630
17,Orlando Magic*,26.0,43,39,44,38,0.99,-0.60,0.39,103.2,102.1,+1.1,93.2,.301,.196,.513,.474,13.8,29.1,.215,.464,15.6,69.8,.290,TD Waterhouse Centre,605031,14757
18,Indiana Pacers*,27.7,41,41,40,42,-0.20,-0.57,-0.77,102.0,102.2,-0.2,89.4,.312,.180,.519,.471,14.5,27.0,.239,.452,12.8,71.4,.235,Conseco Fieldhouse,731800,17849
19,Denver Nuggets,27.9,40,42,34,48,-2.46,0.64,-1.83,103.7,106.3,-2.6,92.6,.286,.210,.511,.470,12.8,28.3,.211,.476,12.1,71.8,.223,Pepsi Center,619300,15105
20,Detroit Pistons,27.1,32,50,36,46,-1.70,-0.39,-2.08,100.0,101.8,-1.8,94.7,.325,.162,.498,.453,14.2,29.3,.234,.466,14.0,72.2,.233,The Palace of Auburn Hills,607323,14813
21,Los Angeles Clippers,24.3,31,51,32,50,-2.89,0.66,-2.23,101.3,104.5,-3.2,89.6,.319,.164,.514,.476,14.9,28.3,.221,.466,12.0,71.1,.217,STAPLES Center,601587,14673
22,Boston Celtics,25.9,36,46,35,47,-2.13,-0.26,-2.40,101.4,103.7,-2.3,92.6,.338,.252,.521,.473,14.7,25.3,.250,.493,16.0,72.7,.256,FleetCenter,629201,15346
23,Cleveland Cavaliers,26.9,30,52,28,54,-4.24,-0.23,-4.48,100.3,104.9,-4.6,91.2,.312,.101,.509,.459,15.4,29.7,.239,.477,14.1,71.1,.248,Gund Arena,650775,15873
24,Vancouver Grizzlies,26.2,23,59,25,57,-5.73,0.79,-4.94,99.6,105.8,-6.2,91.7,.289,.145,.510,.464,14.9,26.1,.223,.491,13.8,69.8,.194,General Motors Place,563218,13737
25,New Jersey Nets,27.5,26,56,26,56,-5.05,-0.25,-5.30,100.0,105.5,-5.5,91.8,.328,.165,.504,.452,13.9,25.7,.249,.488,14.9,70.0,.258,Continental Airlines Arena,556573,13575
26,Atlanta Hawks,26.1,25,57,26,56,-5.21,-0.34,-5.55,98.7,104.3,-5.6,91.9,.272,.140,.500,.456,15.5,28.9,.206,.472,13.8,70.8,.249,Philips Arena,560330,13667
